[20:37:19.481] [INFO   ] thread bguspl.set.Main.main() starting.
[20:37:19.492] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:37:25.663] [SEVERE ] updating countdown to 15293
[20:37:25.674] [SEVERE ] updating countdown to 15282
[20:37:25.685] [SEVERE ] updating countdown to 15271
[20:37:25.697] [SEVERE ] updating countdown to 15260
[20:37:25.726] [SEVERE ] updating countdown to 15230
[20:37:25.737] [SEVERE ] updating countdown to 15219
[20:37:25.748] [SEVERE ] updating countdown to 15208
[20:37:25.760] [SEVERE ] updating countdown to 15196
[20:37:25.773] [SEVERE ] updating countdown to 15183
[20:37:25.788] [SEVERE ] updating countdown to 15168
[20:37:25.800] [SEVERE ] updating countdown to 15157
[20:37:25.844] [SEVERE ] updating countdown to 15112
[20:37:25.855] [SEVERE ] updating countdown to 15101
[20:37:25.866] [SEVERE ] updating countdown to 15090
[20:37:25.876] [SEVERE ] updating countdown to 15080
[20:37:25.887] [SEVERE ] updating countdown to 15069
[20:37:25.898] [SEVERE ] updating countdown to 15058
[20:37:25.909] [SEVERE ] updating countdown to 15047
[20:37:25.920] [SEVERE ] updating countdown to 15036
[20:37:25.931] [SEVERE ] updating countdown to 15025
[20:37:25.986] [SEVERE ] updating countdown to 14970
[20:37:25.997] [SEVERE ] updating countdown to 14959
[20:37:26.008] [SEVERE ] updating countdown to 14948
[20:37:26.019] [SEVERE ] updating countdown to 14937
[20:37:26.031] [SEVERE ] updating countdown to 14925
[20:37:26.048] [SEVERE ] updating countdown to 14908
[20:37:26.059] [SEVERE ] updating countdown to 14897
[20:37:26.099] [SEVERE ] updating countdown to 14857
[20:37:26.122] [SEVERE ] updating countdown to 14834
[20:37:26.133] [SEVERE ] updating countdown to 14823
[20:37:26.144] [SEVERE ] updating countdown to 14812
[20:37:26.154] [SEVERE ] updating countdown to 14802
[20:37:26.165] [SEVERE ] updating countdown to 14791
[20:37:26.176] [SEVERE ] updating countdown to 14780
[20:37:26.187] [SEVERE ] updating countdown to 14769
[20:37:26.204] [SEVERE ] updating countdown to 14752
[20:37:26.219] [SEVERE ] updating countdown to 14737
[20:37:26.233] [SEVERE ] updating countdown to 14723
[20:37:26.285] [SEVERE ] updating countdown to 14671
[20:37:26.296] [SEVERE ] updating countdown to 14660
[20:37:26.307] [SEVERE ] updating countdown to 14649
[20:37:26.317] [SEVERE ] updating countdown to 14639
[20:37:26.328] [SEVERE ] updating countdown to 14628
[20:37:26.340] [SEVERE ] updating countdown to 14616
[20:37:26.352] [SEVERE ] updating countdown to 14604
[20:37:26.376] [SEVERE ] updating countdown to 14580
[20:37:26.389] [SEVERE ] updating countdown to 14567
[20:37:26.403] [SEVERE ] updating countdown to 14553
[20:37:26.419] [SEVERE ] updating countdown to 14537
[20:37:26.434] [SEVERE ] updating countdown to 14522
[20:37:26.457] [SEVERE ] updating countdown to 14499
[20:37:26.468] [SEVERE ] updating countdown to 14488
[20:37:26.479] [SEVERE ] updating countdown to 14477
[20:37:26.489] [SEVERE ] updating countdown to 14467
[20:37:26.500] [SEVERE ] updating countdown to 14456
[20:37:26.511] [SEVERE ] updating countdown to 14445
[20:37:26.522] [SEVERE ] updating countdown to 14434
[20:37:26.532] [SEVERE ] updating countdown to 14424
[20:37:26.543] [SEVERE ] updating countdown to 14413
[20:37:26.555] [SEVERE ] updating countdown to 14401
[20:37:26.611] [SEVERE ] updating countdown to 14345
[20:37:26.622] [SEVERE ] updating countdown to 14334
[20:37:26.633] [SEVERE ] updating countdown to 14323
[20:37:26.644] [SEVERE ] updating countdown to 14312
[20:37:26.656] [SEVERE ] updating countdown to 14300
